step,simulation_seconds,physics_step_ms,stress_solve_ms,frame_host_ms,bodies,awake_bodies,splits_total,contacts_total,resim_passes,correction_status,contacts_frame,projectiles_active,bonds_broken,stress_iterations,stress_converged,observation_ms,gpu_render_submit_and_export_ms,logical_clusters,native_dynamic_bodies,native_kinematic_bodies,active_dynamic_bodies,active_kinematic_bodies,contact_pairs,contact_pairs_with_contacts,solver_rows,stress_active_nodes,stress_active_bonds,stress_islands,graph_d2h_bytes,pre_solve_pairs,simulation_start_ns,simulation_end_ns,process_cpu_ms,complete_step_ms,command_ms,completion_ms,complete_start_ns,complete_end_ns,phase_output_start_ns,phase_output_end_ns,stress_passes,post_correction_bonds_broken,contact_reuse_fallbacks
0,0.01666666753590107,4.1387200000000002,0,9.0340670000000003,2,1,0,0,0,0,0,1,0,45,1,3.2589459999999999,0.54067500000000002,1,1,1,1,0,0,0,0,380,784,1,0,0,205068795614514,205068799757062,4.5746229999999999,5.8188719999999998,1.5996319999999999,0.080519999999999925,205068794015634,205068799833594,0,0,1,0,0
1,0.033333335071802139,0.84194500000000005,0,3.4372060000000002,2,1,0,0,0,0,0,1,0,0,1,2.5694650000000001,0.20957899999999999,1,1,1,1,0,0,0,0,380,784,1,0,0,205068803074687,205068803918064,1.1811499999999999,0.88859100000000002,9.0000000000000006e-05,0.046555999999999931,205068803074617,205068803963128,0,0,1,0,0
2,0.050000004470348358,0.57776400000000006,0,3.0625599999999999,2,1,0,0,0,0,0,1,0,0,1,2.4591500000000002,0.211923,1,1,1,1,0,0,0,0,380,784,1,0,0,205068806515741,205068807094857,0.90512300000000001,0.62175499999999995,8.0000000000000007e-05,0.043910999999999922,205068806515691,205068807137376,0,0,1,0,0
3,0.066666670143604279,0.56237499999999996,0,3.0396879999999999,2,1,0,0,0,0,0,1,0,0,1,2.4511449999999999,0.19730700000000001,1,1,1,1,0,0,0,0,380,784,1,0,0,205068809581978,205068810145706,0.83455100000000004,0.60489400000000004,6.9999999999999994e-05,0.04244900000000007,205068809581928,205068810186762,0,0,1,0,0
4,0.083333335816860199,0.53771899999999995,0,3.0033609999999999,2,1,0,0,0,0,0,1,0,0,1,2.439613,0.19864899999999999,1,1,1,1,0,0,0,0,380,784,1,0,0,205068812625373,205068813164515,0.82213000000000003,0.58253299999999997,6.0000000000000002e-05,0.044754000000000072,205068812625313,205068813207796,0,0,1,0,0
5,0.10000000894069672,0.55372900000000003,0,3.0207329999999999,2,1,0,0,0,0,0,1,0,0,1,2.4414159999999998,0.199521,1,1,1,1,0,0,0,0,380,784,1,0,0,205068815632361,205068816187452,0.83821100000000004,0.59752000000000005,8.0000000000000007e-05,0.043711000000000055,205068815632311,205068816229761,0,0,1,0,0
6,0.11666667461395264,0.60835099999999998,0,3.0870470000000001,2,1,0,0,0,0,0,1,0,0,1,2.452868,0.19833899999999999,1,1,1,1,0,0,0,0,380,784,1,0,0,205068818656670,205068819266534,0.92620800000000003,0.65484699999999996,8.0000000000000007e-05,0.046416000000000013,205068818656620,205068819311397,0,0,1,0,0
7,0.13333334028720856,0.58451600000000004,0,3.0593650000000001,2,1,0,0,0,0,0,1,0,0,1,2.4493510000000001,0.19861899999999999,1,1,1,1,0,0,0,0,380,784,1,0,0,205068821747313,205068822333162,0.94988899999999998,0.62852799999999998,8.0000000000000007e-05,0.043931999999999971,205068821747263,205068822375721,0,0,1,0,0
8,0.15000000596046448,0.55921900000000002,0,3.0456789999999998,2,1,0,0,0,0,0,1,0,0,1,2.4591699999999999,0.205322,1,1,1,1,0,0,0,0,380,784,1,0,0,205068824810255,205068825370897,0.920489,0.60582499999999995,8.0000000000000007e-05,0.046525999999999956,205068824810195,205068825415950,0,0,1,0,0
9,0.1666666716337204,0.598082,0,3.4793249999999998,2,1,0,0,0,0,0,1,0,0,1,2.8529110000000002,0.21500900000000001,1,1,1,1,0,0,0,0,380,784,1,0,0,205068827859491,205068828459035,0.93786700000000001,0.65695000000000003,8.0000000000000007e-05,0.058788000000000062,205068827859441,205068828516281,0,0,1,0,0
