[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 15890, awake 13837, broken 71297
tick 180/600, fragments 16032, awake 9696, broken 71545
tick 240/600, fragments 16824, awake 10930, broken 73299
tick 300/600, fragments 17483, awake 9893, broken 74267
tick 360/600, fragments 17622, awake 8046, broken 74471
tick 420/600, fragments 18124, awake 7976, broken 75417
tick 480/600, fragments 18528, awake 7780, broken 75959
tick 540/600, fragments 18767, awake 6615, broken 76249
report: /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/screen-256-cache/resident-grid-shots/report.md
