[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 15982, awake 13838, broken 71487
tick 180/600, fragments 16189, awake 9999, broken 71835
tick 240/600, fragments 16942, awake 10586, broken 73536
tick 300/600, fragments 17768, awake 10404, broken 74787
tick 360/600, fragments 17965, awake 8747, broken 75071
tick 420/600, fragments 18385, awake 8595, broken 75899
tick 480/600, fragments 18840, awake 8031, broken 76488
tick 540/600, fragments 18975, awake 6935, broken 76648
report: /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/screen-narrow-inverse/scale-shots/report.md
