[embedded-destruction] chunks=24105 bonds=74543 initial_clusters=27 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 23, awake 23, broken 369
tick 120/600, fragments 23, awake 18, broken 369
tick 180/600, fragments 23, awake 14, broken 369
tick 240/600, fragments 31, awake 28, broken 472
tick 300/600, fragments 31, awake 28, broken 472
tick 360/600, fragments 31, awake 24, broken 480
tick 420/600, fragments 31, awake 22, broken 480
tick 480/600, fragments 31, awake 2, broken 480
tick 540/600, fragments 31, awake 1, broken 480
report: /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/screen-self-cache/candidate-shots/report.md
