Generating SQLite file /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/trace-resident-grid/cuda.sqlite from /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/trace-resident-grid/cuda.nsys-rep
Processing [/root/workspace/physx-2/out/vibe-coarse-assembly-20260908/trace-resident-grid/cuda.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
15.4,48992989,12670,3866.8,3808.0,2464,6368,662.6,solveBlockPartition
8.4,26500110,2820,9397.2,8608.0,4032,25568,3357.1,solveStaticBlock
7.7,24576996,4840,5077.9,5120.0,4448,6144,210.1,radixSortMultiCalculateRanksLaunchWithCount
4.9,15639195,4840,3231.2,3232.0,3104,4384,50.1,radixSortMultiBlockLaunchWithCount
3.4,10907766,728,14983.2,15713.0,3648,28417,4753.6,convexConvexNphase_stage2Kernel
3.2,10122619,4016,2520.6,2496.0,1536,4064,178.3,bodyInputAndRanksBlocksLaunch
2.8,8987298,564,15934.9,3136.0,896,62146,24511.5,"physx::destructionContactGraph::connectRetainedSlots(const physx::PxgDestructionRetainedEdge *, const unsigned int *, unsigned int, unsigned int, unsigned int *, unsigned int *, physx::PxgDestructionContactGraphStatus *)"
2.2,6826266,606,11264.5,11232.0,10560,12800,336.7,"physx::<unnamed>::evaluateBondMaterials(const physx::PxDestructionStressChunk *, const physx::PxDestructionStressBond *, const physx::PxDestructionMaterial *, const float *, const physx::PxDestructionVectorPair *, unsigned int, float, float, float, bool, physx::PxDestructionBondVerdict *, physx::PxVec3T<float> *, physx::PxDestructionStageStatus *)"
2.1,6746560,564,11962.0,11936.5,9376,18177,841.1,"physx::<unnamed>::routeContacts(physx::PxgDestructionSolvedContacts, const physx::<unnamed>::Lookup *, unsigned int, const physx::PxDestructionStressChunk *, const physx::PxTransformT<float> *, float, physx::PxDestructionVectorPair *, physx::PxDestructionSurfaceLoad *, physx::PxDestructionStageStatus *, const physx::PxgBodySim *, const physx::PxDestructionMaterial *, float *)"
2.0,6212483,575,10804.3,10752.0,10176,15744,446.9,computeIncrementalComparisonHistograms_Stage1
1.9,6107946,5780,1056.7,1024.0,928,2176,106.2,nativePairMerge
1.9,6004261,2880,2084.8,2208.0,1504,3584,330.2,computeAverageSolverBodyVelocity
1.8,5795935,4016,1443.2,1409.0,1344,3168,123.3,bodyInputAndRanksSingleBlockLaunch
1.8,5552946,2155,2576.8,2528.0,2112,3936,246.4,markActiveSlabPGS
1.5,4641611,606,7659.4,7648.0,7233,8576,186.0,"physx::<unnamed>::prepareLoads(const physx::PxDestructionStressChunk *, unsigned int, const physx::PxDestructionStressCluster *, const physx::PxTransformT<float> *, const physx::PxVec3T<float> *, physx::PxVec3T<float>, physx::PxDestructionVectorPair *, physx::PxDestructionSurfaceLoad *, float *)"
1.4,4373926,564,7755.2,7776.5,5440,10016,701.4,contactConstraintBlockPrepareParallelLaunch
1.3,4190917,2820,1486.1,1472.0,1408,2720,87.8,propagateStaticSolverBodyVelocities
1.2,3848892,728,5286.9,6208.0,3104,10240,1429.2,finishContactsKernel
1.2,3841016,564,6810.3,7648.0,1088,12289,3363.9,"physx::destructionContactGraph::connect(const physx::PxgContactManagerInput *, const physx::PxgContactGraphIdentity *, const physx::PxsContactManagerOutput *, unsigned int, const physx::PxgShapeSim *, unsigned int, unsigned int, physx::PxgDestructionContactGraphStatus *, const unsigned int *, unsigned int *, unsigned int *)"
1.2,3779650,575,6573.3,6656.0,1760,7712,662.0,performIncrementalSAP
1.1,3610045,1621,2227.0,2144.0,1920,3680,242.3,prepareLostFoundPairs_Stage2
1.1,3584005,576,6222.2,6273.0,2336,8256,696.8,updateTransformCacheAndBoundArrayLaunch
1.1,3424153,578,5924.1,9696.0,992,12896,4857.7,nativePairSortTiles
1.0,3085414,2304,1339.2,1344.0,1280,1888,31.4,propagateSolverBodyVelocity
0.9,2817380,1759,1601.7,1536.0,1408,2912,150.5,bpSignalComplete
0.8,2646080,564,4691.6,4769.0,3968,6304,474.9,constraintContactBlockPrePrepLaunch
0.8,2582333,576,4483.2,5313.0,1856,6081,1508.0,preIntegrationLaunch
0.7,2330738,583,3997.8,4000.0,1792,4384,135.3,outputEndPtsHistogram
0.7,2197133,583,3768.7,3776.0,1505,4256,135.9,computeEndPtsHistogram
0.7,2142542,564,3798.8,3744.0,3072,5089,264.3,writebackBlocks
0.7,2124914,1621,1310.9,1248.0,1120,2880,156.8,prepareLostFoundPairs_Stage1
0.7,2099632,575,3651.5,3648.0,3616,4833,64.0,computeIncrementalComparisonHistograms_Stage2
0.6,1834663,728,2520.1,2592.0,1664,4352,480.6,convexConvexNphase_stage1Kernel
0.6,1814924,371,4892.0,5248.0,1568,7264,954.9,boxBoxNphase_Kernel
0.6,1806568,606,2981.1,2976.0,2848,3264,74.6,"physx::<unnamed>::finalizeMaterialVerdict(const physx::PxDestructionStressBond *, physx::PxDestructionBondVerdict *, const physx::PxDestructionCrushState *, const float *, unsigned int, physx::PxDestructionStageStatus *)"
0.5,1739376,576,3019.8,2976.0,2656,3553,201.9,rigidSumInternalContactAndJointBatches2
0.5,1711796,606,2824.7,2912.0,1216,3872,481.8,"physx::destructionContactGraph::compress(unsigned int *, unsigned int *, unsigned int)"
0.5,1707985,577,2960.1,2913.0,2784,4160,157.2,updateHandles
0.5,1661547,578,2874.6,2848.0,2720,3840,143.6,initializeSapBox1DLaunch
0.5,1597702,1621,985.6,960.0,864,2144,124.2,updateFrictionPatches
0.5,1490845,522,2856.0,2848.0,1568,3969,302.6,sphereNphase_Kernel
0.5,1451518,575,2524.4,2464.0,2080,6016,355.0,markUpdatedPairsLaunch
0.4,1393450,578,2410.8,2384.5,2048,3744,215.9,translateAABBsLaunch
0.4,1371258,614,2233.3,2272.0,1856,2496,119.6,"physx::<unnamed>::provisionalTopologyMotion(physx::PxDestructionTopologyDeviceView, const physx::PxDestructionStressChunk *, const physx::PxDestructionStressCluster *, const physx::PxTransformT<float> *, const physx::PxgBodySim *, physx::PxDestructionClusterMotion *)"
0.4,1355875,606,2237.4,2208.0,1984,2720,110.7,"physx::<unnamed>::evaluateChunkMaterials(const physx::PxDestructionStressChunk *, const physx::PxDestructionStressBond *, const physx::PxDestructionMaterial *, const unsigned int *, const unsigned int *, const float *, const physx::PxDestructionVectorPair *, const physx::PxVec3T<float> *, const physx::PxDestructionSurfaceLoad *, const float *, const physx::PxDestructionCrushState *, physx::PxDestructionCrushState *, unsigned int, float, physx::PxDestructionStageStatus *)"
0.4,1323967,606,2184.8,2176.0,1312,3904,254.4,mergeChangedAABBMgrHandlesLaunch
0.4,1319515,579,2279.0,2304.0,1728,3488,310.5,accumulateReportsStage_2
0.4,1292194,576,2243.4,2625.0,960,4160,769.7,createFrozenAndUnfrozenArray
0.4,1278312,564,2266.5,2272.0,1984,3488,144.2,concludeBlocks
0.4,1216732,576,2112.4,2080.0,2048,3232,152.7,outputFrozenAndUnfrozenHistogram
0.4,1159641,614,1888.7,1888.0,1120,4352,205.4,"physx::<unnamed>::commitMaterialState(const physx::PxDestructionBondVerdict *, float *, unsigned int, const physx::PxDestructionCrushState *, physx::PxDestructionCrushState *, unsigned int, const physx::PxDestructionStageStatus *)"
0.4,1155223,576,2005.6,2016.0,1664,3264,200.0,integrateCoreParallelLaunch
0.4,1150839,606,1899.1,1888.0,1792,2336,73.1,"Nv::Blast::<unnamed>::exportPhysicalImpulses(const Nv::Blast::<unnamed>::AngLin *, const float *, Nv::Blast::ExtStressGpuImpulse *, unsigned int, float, float)"
0.4,1140285,576,1979.7,1984.0,1952,2656,45.1,computeFrozenAndUnfrozenHistogramLaunch
0.3,1084725,502,2160.8,2080.0,1088,3776,324.5,dmaBackChangedElems
0.3,1049562,606,1732.0,1728.0,1664,2432,84.6,"physx::<unnamed>::finishStatus(const Nv::Blast::ExtStressGpuDeviceStatus *, physx::PxDestructionStageStatus *, const physx::PxDestructionVectorPair *, unsigned int)"
0.3,1039454,606,1715.3,1696.0,1664,1857,31.9,"physx::<unnamed>::emitTopologyEdits(const physx::PxDestructionBondVerdict *, unsigned int, const physx::PxDestructionCrushState *, const physx::PxDestructionCrushState *, unsigned int, physx::PxgDestructionEdit *, unsigned int *)"
0.3,990330,614,1612.9,1728.0,864,2496,187.2,"physx::<unnamed>::commitObservedTopologyMotion(physx::PxDestructionTopologyDeviceView, const physx::PxDestructionClusterMotion *, const physx::PxDestructionStageStatus *)"
0.3,984411,579,1700.2,1952.0,1184,3328,451.9,copyReports
0.3,919731,606,1517.7,1088.0,1024,30112,3389.8,"physx::<unnamed>::prepareCandidateBodies(physx::PxDestructionTopologyDeviceView, const physx::PxDestructionStressChunk *, const physx::PxDestructionStressCluster *, physx::PxDestructionClusterBodyState *, physx::PxDestructionBodyPreparationStatus *, physx::PxDestructionTopologyDeviceView, physx::PxvDestructionBodyRequest *, unsigned int *)"
0.3,887123,579,1532.2,1568.0,1216,2528,291.4,accumulateReportsStage_1
0.3,885809,578,1532.5,1632.0,1120,2849,320.0,nativePairUniqueScatter
0.3,858804,576,1491.0,1504.0,1440,1696,23.8,rigidSumInternalContactAndJointBatches1
0.3,813169,606,1341.9,1408.0,864,2400,432.1,"physx::<unnamed>::setTransactionBatch(physx::<unnamed>::TransactionBatch *, physx::<unnamed>::TransactionBatch)"
0.3,803923,615,1307.2,1312.0,832,2592,462.2,"Nv::Blast::<unnamed>::setDeviceStressTopologyBatch(Nv::Blast::<unnamed>::DeviceStressTopologyBatch *, Nv::Blast::<unnamed>::DeviceStressTopologyBatch)"
0.3,797137,578,1379.1,1440.0,1024,2784,257.2,nativePairUniquePrefix
0.3,796621,578,1378.2,1376.0,1152,2336,154.6,nativePairUniqueCounts
0.2,788437,576,1368.8,1344.0,1312,2433,111.5,updateChangedAABBMgrHandlesLaunch
0.2,770774,614,1255.3,1216.0,1184,2688,159.4,"physx::<unnamed>::observeNativeClusters(const physx::PxDestructionStressCluster *, unsigned int, const physx::PxgBodySim *, physx::PxTransformT<float> *, physx::PxVec3T<float> *, const physx::PxDestructionStageStatus *)"
0.2,761780,606,1257.1,1152.0,928,2305,260.9,"physx::<unnamed>::inspectTopologyTransaction(const physx::PxDestructionTopologyTransactionStatus *, physx::PxDestructionStageStatus *)"
0.2,756946,502,1507.9,1472.0,1152,2656,126.9,outputAccumulateThresholdStream
0.2,745840,576,1294.9,1280.0,1216,2848,104.5,writeBackBodies
0.2,732149,502,1458.5,1472.0,1152,2112,54.2,outputExceededForceThresholdElementIndice
0.2,723657,606,1194.2,1056.0,1024,2560,331.7,"physx::<unnamed>::startFrame(physx::PxDestructionStageStatus *, const physx::PxgContactGraphSequence *, bool)"
0.2,706443,502,1407.3,1376.0,992,2496,94.6,computeExceededForceThresholdElementIndice
0.2,695856,502,1386.2,1408.0,928,2624,98.6,createForceChangeThresholdElements
0.2,684279,564,1213.3,1216.0,1184,2240,98.6,constraint1DBlockPrePrepLaunch
0.2,683956,502,1362.5,1344.0,1152,2688,83.9,outputThresholdPairsMaskIndices
0.2,683723,502,1362.0,1344.0,1056,2881,115.2,computeThresholdElementMaskIndices
0.2,682984,614,1112.4,832.0,800,2368,400.8,"physx::<unnamed>::setTransactionAccept(physx::<unnamed>::TransactionBatch *, const unsigned int *)"
0.2,681068,577,1180.4,1184.0,1152,1600,29.7,initializeRadixRanks
0.2,660806,502,1316.3,1312.0,992,2368,67.2,computeAccumulateThresholdStream
0.2,658413,606,1086.5,1056.0,1024,3200,144.6,"physx::<unnamed>::checkUnchangedMotionCommit(physx::PxDestructionTopologyDeviceView, physx::PxDestructionTopologyDeviceView, const physx::PxDestructionTopologyTransactionStatus *, unsigned int *, const physx::PxDestructionStressChunk *, unsigned int *, physx::PxDestructionCollisionPreparationStatus *)"
0.2,652397,492,1326.0,1312.0,928,2368,80.8,setThresholdElementsMask
0.2,632655,606,1044.0,1056.0,1024,1120,20.6,"physx::<unnamed>::finishBodyPreparation(const physx::PxDestructionTopologyTransactionStatus *, physx::PxDestructionBodyPreparationStatus *, physx::PxDestructionStageStatus *)"
0.2,630831,502,1256.6,1248.0,896,2400,101.6,writeoutAccumulatedForcePerObject
0.2,625713,502,1246.4,1248.0,928,2464,102.5,initialRanksAndBodyIndexA
0.2,615183,502,1225.5,1216.0,896,2144,83.2,reorganizeThresholdElements
0.2,592175,576,1028.1,1024.0,992,2240,83.8,ZeroBodies
0.2,591691,606,976.4,960.0,928,1184,30.7,"physx::<unnamed>::beginBodyPreparation(const physx::PxDestructionTopologyTransactionStatus *, physx::PxDestructionTopologyDeviceView, physx::PxDestructionBodyPreparationStatus *)"
0.2,590671,606,974.7,960.0,928,1376,47.0,"physx::destructionContactGraph::initialize(unsigned int *, unsigned int *, unsigned int, physx::PxgDestructionContactGraphStatus *, unsigned int, const physx::PxgContactGraphSequence *)"
0.2,582285,502,1159.9,1152.0,928,2240,125.3,initialRanksAndBodyIndexB
0.2,579721,576,1006.5,992.0,960,1344,42.1,initStaticKinematics
0.2,577812,614,941.1,928.0,896,1504,54.4,"physx::<unnamed>::inspectStressTopology(const Nv::Blast::ExtStressGpuDeviceTopologyStatus *, physx::PxDestructionStageStatus *)"
0.2,576913,606,952.0,928.0,896,1217,51.0,"physx::<unnamed>::acceptUnchangedMotionCommit(const unsigned int *, physx::PxDestructionStageStatus *)"
0.2,576846,606,951.9,960.0,896,1120,25.0,physx::<unnamed>::requireFractureCorrection(physx::PxDestructionStageStatus *)
0.2,576681,606,951.6,928.0,896,1248,51.6,Nv::Blast::<unnamed>::markDeviceStressSolved(Nv::Blast::ExtStressGpuDeviceTopologyStatus *)
0.2,575703,606,950.0,960.0,928,1152,27.1,"physx::<unnamed>::beginUnchangedMotionCommit(const physx::PxDestructionTopologyTransactionStatus *, const physx::PxDestructionStageStatus *, unsigned int *)"
0.2,563856,606,930.5,928.0,896,992,18.9,physx::<unnamed>::requireNativeConvergence(physx::PxDestructionStageStatus *)
0.2,553292,203,2725.6,2816.0,992,4288,540.8,removeContactManagers_Stage5
0.2,483466,10,48346.6,47825.0,47361,50529,1249.7,computeStartAndActiveRegionHistogram
0.1,404203,228,1772.8,1824.0,1216,2272,132.8,initializeManifolds
0.1,380170,10,38017.0,5216.5,4960,332775,103567.8,generateFoundPairsForNewBoundsRegion
0.1,325863,5,65172.6,4224.0,3392,309863,136786.7,MemCopyBalanced
0.1,298086,203,1468.4,1408.0,1344,2240,140.8,removeContactManagers_Stage3
0.1,283335,203,1395.7,1344.0,1280,2112,108.5,removeContactManagers_Stage4
0.1,264679,203,1303.8,1281.0,1056,2336,163.3,removeContactManagers_Stage2
0.1,263040,222,1184.9,1152.0,1024,1472,81.5,"physx::<unnamed>::buildNativeContactInputs(physx::PxgContactManagerInput *, unsigned int, const physx::PxgShapeSim *, unsigned int)"
0.1,237510,2,118755.0,118755.0,111267,126243,10589.6,"physx::<unnamed>::connect(const physx::PxDestructionBondEndpoints *, unsigned int, unsigned int *, const unsigned int *, unsigned int *)"
0.1,225380,203,1110.2,1056.0,928,2304,173.0,removeContactManagers_Stage1
