Generating SQLite file /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/trace-resident-nodes/cuda-256.sqlite from /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/trace-resident-nodes/cuda-256.nsys-rep
Processing [/root/workspace/physx-2/out/vibe-coarse-assembly-20260908/trace-resident-nodes/cuda-256.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.4,17368062221,934,18595355.7,19128950.5,123427,30070224,4721060.5,"Nv::Blast::<unnamed>::componentStressSolve(Nv::Blast::<unnamed>::PersistentStressArgs, Nv::Blast::<unnamed>::ResidentStressComponentView)"
2.9,615329889,569,1081423.4,1076441.0,1059160,1366143,23055.2,"Nv::Blast::StressHierarchy::construct(Nv::Blast::StressHierarchy::Input, Nv::Blast::StressHierarchy::Buffers, Nv::Blast::StressHierarchy::Status *, Nv::Blast::StressHierarchy::Work *)"
2.4,521636461,569,916760.0,959574.0,548876,984567,66237.5,"Nv::Blast::StressHierarchy::constructMotionModes(Nv::Blast::StressHierarchy::Input, const unsigned int *, Nv::Blast::StressHierarchy::MotionBuffers, Nv::Blast::StressHierarchy::Status *, Nv::Blast::StressHierarchy::Work *)"
1.5,313890548,4490,69908.8,67986.0,4064,112323,15308.6,solveStaticBlock
1.2,256785987,35880,7156.8,7008.0,3488,10656,1045.5,solveBlockPartition
0.7,143128374,903,158503.2,90082.0,1952,8211994,407351.4,performIncrementalSAP
0.7,140508555,570,246506.2,252806.0,15105,277542,31416.2,"physx::<unnamed>::massProperties(const physx::PxDestructionChunkMassProperties *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, physx::PxDestructionClusterMassProperties *, const unsigned int *, const physx::PxDestructionTopologyStatus *)"
0.6,121970796,338,360860.3,359448.0,354696,440874,7001.9,computeStartAndActiveRegionHistogram
0.5,117153283,898,130460.2,128227.0,13888,184964,21625.0,"physx::<unnamed>::routeContacts(physx::PxgDestructionSolvedContacts, const physx::<unnamed>::Lookup *, unsigned int, const physx::PxDestructionStressChunk *, const physx::PxTransformT<float> *, float, physx::PxDestructionVectorPair *, physx::PxDestructionSurfaceLoad *, physx::PxDestructionStageStatus *, const physx::PxgBodySim *, const physx::PxDestructionMaterial *, float *)"
0.5,113005240,1793,63025.8,41473.0,5472,299015,61223.0,boxBoxNphase_Kernel
