Generating SQLite file /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/trace-resident-nodes/cuda.sqlite from /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/trace-resident-nodes/cuda.nsys-rep
Processing [/root/workspace/physx-2/out/vibe-coarse-assembly-20260908/trace-resident-nodes/cuda.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.8,16240006649,607,26754541.4,28444326.0,1454177,92915087,10539968.7,void Nv::Blast::<unnamed>::persistentStressSolve<(bool)1>(Nv::Blast::<unnamed>::PersistentStressArgs)
1.1,186482671,607,307220.2,279494.0,151747,23013224,924947.1,"Nv::Blast::<unnamed>::componentStressSolve(Nv::Blast::<unnamed>::PersistentStressArgs, Nv::Blast::<unnamed>::ResidentStressComponentView)"
0.4,75242766,165,456016.8,1536.0,1472,2826688,830006.4,"Nv::Blast::StressHierarchy::buildSelfCache(Nv::Blast::StressHierarchy::Input, Nv::Blast::StressHierarchy::Buffers, const Nv::Blast::StressHierarchy::Status *, const Nv::Blast::StressHierarchy::Work *)"
0.4,65998448,17705,3727.7,3712.0,2400,6144,655.0,solveBlockPartition
0.3,46525371,176,264348.7,10112.5,9760,1233115,374324.9,"Nv::Blast::StressHierarchy::construct(Nv::Blast::StressHierarchy::Input, Nv::Blast::StressHierarchy::Buffers, Nv::Blast::StressHierarchy::Status *, Nv::Blast::StressHierarchy::Work *)"
0.2,29171624,2825,10326.2,10689.0,3712,25504,2803.7,solveStaticBlock
0.1,24661518,4864,5070.2,5120.0,4448,5728,210.6,radixSortMultiCalculateRanksLaunchWithCount
0.1,15691719,4864,3226.1,3232.0,3104,4577,51.3,radixSortMultiBlockLaunchWithCount
0.1,12690048,165,76909.4,3520.0,3264,430218,126376.5,"Nv::Blast::StressHierarchy::constructSmoother(Nv::Blast::StressHierarchy::Input, const Nv::Blast::StressHierarchy::Status *, Nv::Blast::StressHierarchy::Status *, Nv::Blast::StressHierarchy::Work *, Nv::Blast::StressHierarchy::Buffers, Nv::Blast::StressHierarchy::TerminalBuffers, unsigned int)"
0.1,11714434,764,15333.0,15936.0,3648,36896,5398.3,convexConvexNphase_stage2Kernel
0.1,10159037,4024,2524.6,2496.0,1600,4129,192.9,bodyInputAndRanksBlocksLaunch
0.0,8085205,176,45938.7,6944.0,6304,932597,117070.2,"Nv::Blast::StressHierarchy::constructTerminals(Nv::Blast::StressHierarchy::Input, const Nv::Blast::StressHierarchy::Status *, Nv::Blast::StressHierarchy::Status *, Nv::Blast::StressHierarchy::Work *, Nv::Blast::StressHierarchy::TerminalBuffers, unsigned int)"
0.0,7229943,2820,2563.8,2496.0,2048,3616,261.5,markActiveSlabPGS
0.0,7024728,565,12433.1,12384.0,9185,18369,706.6,"physx::<unnamed>::routeContacts(physx::PxgDestructionSolvedContacts, const physx::<unnamed>::Lookup *, unsigned int, const physx::PxDestructionStressChunk *, const physx::PxTransformT<float> *, float, physx::PxDestructionVectorPair *, physx::PxDestructionSurfaceLoad *, physx::PxDestructionStageStatus *, const physx::PxgBodySim *, const physx::PxDestructionMaterial *, float *)"
0.0,6723218,607,11076.1,11072.0,11008,11169,31.1,"Nv::Blast::<unnamed>::applyNativeStressSolution(Nv::Blast::<unnamed>::AngLin *, const Nv::Blast::StressHierarchy::Vector *, const Nv::Blast::<unnamed>::Inertia *, const unsigned int *, const unsigned int *, const Nv::Blast::<unnamed>::Vec4 *, const Nv::Blast::<unnamed>::Vec4 *, const float *, const float *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *)"
0.0,6649492,607,10954.7,10912.0,10433,12864,281.0,"physx::<unnamed>::evaluateBondMaterials(const physx::PxDestructionStressChunk *, const physx::PxDestructionStressBond *, const physx::PxDestructionMaterial *, const float *, const physx::PxDestructionVectorPair *, unsigned int, float, float, float, bool, physx::PxDestructionBondVerdict *, physx::PxVec3T<float> *, physx::PxDestructionStageStatus *)"
0.0,6463277,2885,2240.3,2208.0,1472,3808,196.6,computeAverageSolverBodyVelocity
0.0,6108447,5790,1055.0,1024.0,928,2400,107.3,nativePairMerge
0.0,6057609,576,10516.7,10433.0,9888,16481,494.1,computeIncrementalComparisonHistograms_Stage1
0.0,5839140,4024,1451.1,1440.0,1312,2944,130.1,bodyInputAndRanksSingleBlockLaunch
0.0,5273696,607,8688.1,8673.0,8640,9120,24.4,"Nv::Blast::<unnamed>::accumulateSquaredByIsland(const Nv::Blast::<unnamed>::AngLin *, const unsigned int *, const unsigned int *, float *, const unsigned int *, const unsigned int *, unsigned int, unsigned int)"
