[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 15970, awake 13903, broken 71440
tick 180/600, fragments 16105, awake 9827, broken 71666
tick 240/600, fragments 16922, awake 10897, broken 73514
tick 300/600, fragments 17660, awake 10075, broken 74698
tick 360/600, fragments 17836, awake 8411, broken 74934
tick 420/600, fragments 18315, awake 8409, broken 75912
tick 480/600, fragments 18595, awake 7837, broken 76285
tick 540/600, fragments 18793, awake 6847, broken 76520
report: /root/workspace/physx-2/out/vibe-committed-changes-20260908/repeat-and-audit/candidate1/report.md
