[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 15989, awake 13961, broken 71444
tick 180/600, fragments 16124, awake 9883, broken 71659
tick 240/600, fragments 16928, awake 10815, broken 73471
tick 300/600, fragments 17562, awake 9972, broken 74470
tick 360/600, fragments 17844, awake 8774, broken 74920
tick 420/600, fragments 18440, awake 9102, broken 76020
tick 480/600, fragments 18719, awake 8310, broken 76436
tick 540/600, fragments 18898, awake 7140, broken 76651
report: /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/physical-polynomial-repeat/baseline1/report.md
