[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 15992, awake 13929, broken 71498
tick 180/600, fragments 16134, awake 9928, broken 71715
tick 240/600, fragments 16877, awake 10689, broken 73485
tick 300/600, fragments 17542, awake 9823, broken 74472
tick 360/600, fragments 17688, awake 8544, broken 74671
tick 420/600, fragments 18192, awake 8321, broken 75595
tick 480/600, fragments 18570, awake 8010, broken 76165
tick 540/600, fragments 18768, awake 7033, broken 76413
report: /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/physical-polynomial-repeat/candidate2/report.md
