[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 15996, awake 13944, broken 71490
tick 180/600, fragments 16121, awake 9446, broken 71699
tick 240/600, fragments 16882, awake 10402, broken 73359
tick 300/600, fragments 17472, awake 9575, broken 74297
tick 360/600, fragments 17646, awake 8034, broken 74549
tick 420/600, fragments 18216, awake 8232, broken 75473
tick 480/600, fragments 18636, awake 7667, broken 76027
tick 540/600, fragments 18905, awake 6361, broken 76400
report: /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/screen-physical-polynomial/scale-shots/report.md
