[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 15969, awake 13864, broken 71406
tick 180/600, fragments 16058, awake 9512, broken 71573
tick 240/600, fragments 16883, awake 10852, broken 73373
tick 300/600, fragments 17584, awake 9904, broken 74419
tick 360/600, fragments 17814, awake 8346, broken 74691
tick 420/600, fragments 18354, awake 8572, broken 75702
tick 480/600, fragments 18634, awake 8000, broken 76141
tick 540/600, fragments 18785, awake 6622, broken 76345
report: /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/screen-canonical-norm/scale-shots/report.md
