[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 16099, awake 14063, broken 71633
tick 180/600, fragments 16196, awake 10120, broken 71771
tick 240/600, fragments 17015, awake 11143, broken 73579
tick 300/600, fragments 17742, awake 10252, broken 74673
tick 360/600, fragments 17916, awake 8557, broken 74902
tick 420/600, fragments 18450, awake 8926, broken 75923
tick 480/600, fragments 18849, awake 8353, broken 76473
tick 540/600, fragments 19050, awake 6778, broken 76704
report: /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/screen-warm-residual/scale-shots/report.md
