scenario,mode,arm,n,mean_ms,max_ms,min_ms,sd_ms,first_tick_ms,later_mean_ms,over_60hz,restore_mean_ms,initialization_ms,command_ms,simulate_fetch_ms,completion_ms,raw
bridge64-cold,restored,A0,8,7.8091645,9.517203,7.360943,0.7176879660728014,9.517203,7.5651589999999995,0,35.881008625,424.332269,0.000130375,7.63983975,0.169194375,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/bridge64-cold-A0
bridge64-cold,restored,B0,8,8.777311125,11.330004,8.285952,1.035304410838314,11.330004,8.412640714285715,0,35.258344125,438.808219,0.000108875,8.610340375,0.166861875,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/bridge64-cold-B0
bridge64-cold,restored,A1,8,8.918608625,11.247037,8.424234,0.9600569065718285,11.247037,8.585976,0,36.133844375,427.439968,8.925e-05,8.738619,0.179900375,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/bridge64-cold-A1
chain256-cold,restored,A0,8,7.469427,9.861942,6.978522,0.9723187197267897,9.861942,7.127639142857142,0,32.63627325,428.429363,0.0001355,7.277346625,0.191944875,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/chain256-cold-A0
chain256-cold,restored,B0,8,7.502188125,9.929253,6.960572,0.9923404058132235,9.929253,7.155464571428571,0,30.259256625000003,425.503294,0.000121,7.325994875,0.17607224999999999,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/chain256-cold-B0
chain256-cold,restored,A1,8,7.56380925,10.529648,7.003028,1.2044791993508173,10.529648,7.140118,0,31.916077625,440.218688,9.012500000000001e-05,7.37669725,0.187021875,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/chain256-cold-A1
dense12-cold,restored,A0,6,31.330408666666667,32.928285,30.170502,0.8947507453993367,32.928285,31.0108334,6,57.547716,436.586043,0.00014466666666666667,31.110031833333334,0.22023216666666667,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/dense12-cold-A0
dense12-cold,restored,B0,6,32.1106705,33.819583,31.302003,1.018926083157116,33.819583,31.768888,6,55.75657983333333,425.333196,0.00014616666666666668,31.903988333333334,0.206536,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/dense12-cold-B0
dense12-cold,restored,A1,6,31.28308566666667,33.574961,30.539375,1.14730235883165,33.574961,30.8247106,6,55.1717645,460.341058,0.00014866666666666666,31.0955995,0.1873375,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/dense12-cold-A1
tower64-cold,restored,A0,4,108.43018525,111.246459,106.818264,1.936928165202895,111.246459,107.49142733333333,4,80.17968875,490.922803,0.00012275,108.23999599999999,0.1900665,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/tower64-cold-A0
tower64-cold,restored,B0,4,108.42741825,109.991788,107.800498,1.0455853088646472,109.991788,107.90596166666667,4,72.94723075,432.785585,0.000161,108.26324525,0.16401200000000002,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/tower64-cold-B0
tower64-cold,restored,A1,4,109.33693975,111.286177,108.378838,1.3258309811835907,111.286177,108.687194,4,77.72293549999999,432.112057,0.000209,109.110369,0.22636175,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/tower64-cold-A1
city25-initial-impact,restored,A0,6,36.12661716666667,39.367379,34.166751,1.9395443918556146,39.367379,35.4784648,6,99.734388,571.758679,0.000132,35.920255499999996,0.20622966666666667,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city25-initial-impact-A0
city25-initial-impact,restored,B0,6,41.5885495,50.605654,38.645067,4.498819439584868,50.605654,39.7851286,6,101.2618485,585.23655,0.000115,41.403230666666666,0.18520383333333335,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city25-initial-impact-B0
city25-initial-impact,restored,B1,6,41.42614966666667,50.921004,37.65886,5.309853651125263,50.921004,39.5271788,6,95.73860833333333,567.697666,0.000176,41.239097,0.18687666666666666,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city25-initial-impact-B1
city25-initial-impact,restored,A1,6,41.402178166666666,48.808297,38.600997,3.7279100973698087,48.808297,39.9209544,6,105.89433,614.551831,0.00021733333333333335,41.22403033333333,0.1779305,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city25-initial-impact-A1
city256-intact-idle,restored,A0,4,63.360349,72.279513,58.133092,6.210736534195761,72.279513,60.38729433333333,4,722.87762925,1754.164197,0.0002185,63.1502025,0.209928,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city256-intact-idle-A0
city256-intact-idle,restored,B0,4,65.39618775,74.168574,60.244539,6.063091368767169,74.168574,62.472059,4,730.7655505,1736.332245,0.00014275,65.19297375000001,0.20307124999999998,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city256-intact-idle-B0
city256-intact-idle,restored,A1,4,75.57859575,90.824427,65.142216,10.846181493000055,90.824427,70.496652,4,738.66764625,1719.718687,0.0001265,75.3416985,0.23677075,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city256-intact-idle-A1
city256-late-debris,restored,A0,4,361.51530275,411.620832,319.417567,37.97507614488844,411.620832,344.8134596666667,4,789.86178275,1690.003589,8.950000000000001e-05,361.2724535,0.24275975,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city256-late-debris-A0
city256-late-debris,restored,B0,4,372.58129375,395.489303,333.868282,26.828412142578514,395.489303,364.94529066666666,4,795.21798525,1744.590911,0.00017375,372.35276650000003,0.2283535,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city256-late-debris-B0
city256-late-debris,restored,B1,4,382.628272,418.510447,351.547897,31.392250865845334,398.819997,377.2310303333333,4,781.9235679999999,1734.126978,0.000158,382.376754,0.25136000000000003,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city256-late-debris-B1
city256-late-debris,restored,A1,4,370.45847449999997,415.918216,337.285328,32.9043847855987,415.918216,355.30522733333333,4,810.557761,1764.618064,0.00019725,370.09402324999996,0.364254,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/city256-late-debris-A1
idle-256,continuous,A0,180,1.7223556722222222,14.264284,1.452992,0.9504213922148523,14.264284,1.652289033519553,0,,2176.880752,0.00021382777777777777,1.5104583,0.21168354444444445,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/idle-256-A0
idle-256,continuous,B0,180,1.6712723388888888,13.479237,1.421603,0.8922600442705841,13.479237,1.6053060558659218,0,,2159.585361,0.00021850555555555555,1.4665522277777778,0.20450160555555555,/root/workspace/physx-2/out/destruction-baseline-20260913/representative-calibration-v2/idle-256-B0
