scenario,arm,repeat,restore_ms,complete_step_ms,teardown_ms,pinned_allocations,pinned_reuses,pinned_retained_peak_bytes,deserialize_ms,scene_create_ms,insert_ms,destruction_import_ms,pre_tick_validation_ms,post_tick_validation_ms,command_ms,simulate_fetch_ms,completion_ms,stress_iterations,broken_bonds,correction_passes,stress_passes,output_clusters,stress_islands,stress_active_nodes,stress_active_bonds,normal_contacts,friction_anchors,repeatability_passed,motion_comparison_measured,position_error_m,linear_error_m_s,angular_error_rad_s
bridge64-cold,A0,0,213.042661,11.701534,6.508767,22,0,239206412,0.140632,127.684383,0.788093,84.428529,1.994681,14.133788,9.7e-05,11.497533,0.203904,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,1,10.630654,8.561039,6.394306,22,11,239206412,0.141088,0.645632,0.500656,9.342553,1.581824,0.574652,0.000129,8.369145,0.191765,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,2,10.473605,8.50029,6.60403,22,22,239206412,0.123539,0.61591,0.503607,9.229969,1.441669,0.582296,0.000127,8.318461,0.181702,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,3,10.423211,8.422644,6.481032,22,33,239206412,0.123639,0.649275,0.487974,9.161725,1.447598,0.585202,0.000127,8.238576,0.183941,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,4,10.445243,8.469805,6.574569,22,44,239206412,0.123937,0.617361,0.486322,9.216939,1.435266,0.61949,9.6e-05,8.271215,0.198494,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,5,10.698919,8.578445,8.818115,22,55,239206412,0.135219,0.637007,0.497468,9.428582,1.470416,0.590982,0.000129,8.37318,0.205136,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,6,11.456521,8.519386,6.773562,22,66,239206412,0.137424,1.268476,0.512531,9.53748,1.46089,0.612003,9.9e-05,8.312382,0.206905,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,7,10.915864,8.523713,10.189786,22,77,239206412,0.129678,0.923303,0.510578,9.351584,1.40025,0.549465,0.0001,8.292751,0.230862,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,8,13.195259,8.909386,6.989432,22,88,239206412,0.133931,1.098089,0.525475,11.437006,1.478131,0.641627,0.000107,8.712873,0.196406,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,9,12.128445,8.610791,11.94795,22,99,239206412,0.134633,0.595918,0.537692,10.859533,1.540033,0.533535,0.000111,8.426323,0.184357,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,10,11.315702,8.4206,7.295296,22,110,239206412,0.152393,0.703999,0.582188,9.876435,1.523953,0.654398,0.000114,8.208205,0.212281,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,11,10.666046,8.416859,7.089985,22,121,239206412,0.142188,0.621546,0.560952,9.340688,1.43038,0.623495,0.000124,8.226969,0.189766,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,12,10.949618,8.679127,7.712924,22,132,239206412,0.133932,0.613948,0.511908,9.689144,1.451651,0.666171,0.000104,8.463432,0.215591,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,13,11.639215,9.605193,7.382858,22,143,239206412,0.164943,0.685285,0.553026,10.234873,1.593401,0.649135,0.000128,9.410083,0.194982,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,14,10.94374,8.5155,7.105293,22,154,239206412,0.152507,0.690817,0.535997,9.563709,1.435844,0.645967,0.000101,8.307617,0.207782,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,15,10.915044,8.417699,7.179318,22,165,239206412,0.133038,0.678573,0.540847,9.561894,1.455878,0.559031,0.000127,8.220375,0.197197,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,16,10.854965,8.472789,6.685669,22,176,239206412,0.128637,0.674875,0.509194,9.54167,1.437554,0.565647,0.000104,8.262981,0.209704,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,17,10.606029,8.390916,7.261149,22,187,239206412,0.129185,0.614337,0.506737,9.355159,1.426153,0.543085,0.000133,8.21712,0.173663,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,18,15.611116,8.380501,7.88475,22,198,239206412,0.137081,0.617588,0.532827,14.322994,1.590591,0.644557,0.000138,8.157348,0.223015,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A0,19,11.275421,8.784806,10.149403,22,209,239206412,0.168463,0.677292,0.563455,9.865567,1.489305,0.578884,0.000137,8.571299,0.21337,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,0,212.259739,11.233626,6.512001,22,0,239206412,0.159073,126.218111,0.797059,85.084577,1.980187,14.15788,0.000101,11.033355,0.20017,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,1,10.581284,8.722538,6.458118,22,11,239206412,0.143086,0.716985,0.488496,9.231996,1.594679,0.598371,9.7e-05,8.525064,0.197377,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,2,10.524852,8.487311,6.451208,22,22,239206412,0.124012,0.605202,0.516379,9.278492,1.49282,0.573853,0.000112,8.306328,0.180871,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,3,10.439023,8.589157,6.482577,22,33,239206412,0.122969,0.640656,0.471239,9.203418,1.468705,0.550708,9.5e-05,8.39002,0.199042,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,4,10.476562,8.488129,6.693488,22,44,239206412,0.137805,0.605265,0.492583,9.240158,1.472826,0.606161,0.000127,8.305406,0.182596,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,5,10.516255,8.461469,6.510826,22,55,239206412,0.124283,0.612161,0.493904,9.285198,1.524762,0.59277,0.000125,8.278504,0.18284,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,6,10.511864,8.434854,9.683505,22,66,239206412,0.124392,0.594212,0.471691,9.320783,1.436476,0.614743,0.000115,8.231711,0.203028,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,7,14.08815,8.417329,7.538375,22,77,239206412,0.131393,0.8578,0.496344,12.60189,1.46644,0.55111,0.000113,8.220496,0.19672,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,8,10.442764,8.529854,8.176916,22,88,239206412,0.125959,0.634076,0.489025,9.193046,1.489856,0.611452,0.000125,8.341341,0.188388,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,9,10.742614,8.463455,6.539278,22,99,239206412,0.129694,0.608655,0.509387,9.494126,1.510375,0.553551,0.000115,8.279428,0.183912,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,10,10.547229,8.520594,6.708219,22,110,239206412,0.126732,0.614771,0.476265,9.328866,1.442021,0.632204,0.000115,8.317451,0.203028,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,11,10.622053,8.479804,6.865225,22,121,239206412,0.128214,0.672692,0.492605,9.327928,1.477126,0.635701,0.000117,8.291974,0.187713,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,12,10.866007,8.499261,6.502252,22,132,239206412,0.128558,0.694088,0.506307,9.536283,1.517249,0.536567,0.000124,8.305271,0.193866,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,13,10.880518,9.117502,7.418384,22,143,239206412,0.123796,0.617817,0.470729,9.6675,1.554115,0.635074,0.000129,8.900174,0.217199,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,14,10.851402,8.66801,6.470734,22,154,239206412,0.162447,0.646563,0.517589,9.5239,1.45608,0.560739,0.000117,8.479128,0.188765,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,15,10.53142,8.518459,6.750136,22,165,239206412,0.125027,0.605853,0.487144,9.312774,1.474622,0.658955,0.000162,8.331026,0.187271,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,16,10.721421,8.668644,6.859806,22,176,239206412,0.142235,0.616799,0.511664,9.44993,1.401743,0.633188,0.000101,8.481914,0.186629,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,17,10.598331,8.722626,7.357367,22,187,239206412,0.128779,0.619312,0.489944,9.359601,1.42628,0.55577,0.000117,8.514739,0.20777,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,18,13.996964,8.638416,6.736466,22,198,239206412,0.123935,0.609849,0.48951,12.773009,1.485947,0.566648,0.000124,8.421639,0.216653,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-cold,A1,19,10.806694,9.012984,9.704005,22,209,239206412,0.128935,0.684743,0.515145,9.477126,1.492932,0.575534,0.00011,8.82096,0.191914,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,0,215.847931,11.724564,6.569816,22,0,239206412,0.16152,127.510655,0.801388,87.373383,2.072729,14.086407,0.000205,11.543543,0.180816,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,1,10.65179,8.68331,6.460094,22,11,239206412,0.159658,0.615257,0.495957,9.380197,1.641408,0.551109,0.000135,8.513602,0.169573,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,2,10.545483,9.142929,6.432197,22,22,239206412,0.141655,0.583308,0.484098,9.3357,1.436054,0.533425,0.000145,8.961816,0.180968,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,3,10.325037,9.034923,6.640836,22,33,239206412,0.127815,0.635119,0.483842,9.077428,1.482776,0.565953,0.000129,8.856166,0.178628,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,4,10.769522,8.946752,6.603979,22,44,239206412,0.126532,0.613559,0.481136,9.547637,1.463212,0.576813,0.000118,8.775885,0.170749,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,5,10.630978,8.621159,9.730682,22,55,239206412,0.148754,0.614727,0.490553,9.376328,1.486496,0.529564,0.000145,8.439775,0.181239,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,6,11.415354,9.029709,6.416845,22,66,239206412,0.150491,1.323671,0.470873,9.4697,1.452238,0.547341,0.000132,8.840162,0.189415,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,7,10.707054,8.461698,8.78257,22,77,239206412,0.146398,0.781574,0.501852,9.276585,1.403381,0.525429,0.00013,8.285552,0.176016,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,8,12.041071,8.710745,7.120252,22,88,239206412,0.137174,0.856519,0.537991,10.508711,1.47259,0.511648,0.000138,8.53183,0.178777,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,9,10.969657,8.571159,6.846936,22,99,239206412,0.139989,0.62444,0.521873,9.682661,1.481049,0.548708,0.000136,8.383361,0.187662,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,10,11.096126,8.485099,6.739689,22,110,239206412,0.139222,0.638777,0.532873,9.784491,1.479192,0.567052,0.000199,8.305904,0.178996,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,11,10.586881,9.068736,6.514408,22,121,239206412,0.14328,0.693887,0.480572,9.268335,1.477664,0.532096,0.000139,8.86101,0.207587,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,12,10.581105,8.381634,7.369775,22,132,239206412,0.132756,0.647107,0.492271,9.308299,1.483578,0.565117,0.000143,8.207162,0.174329,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,13,15.383736,8.734246,6.771764,22,143,239206412,0.155009,0.587513,0.528033,14.11243,1.495105,0.565884,0.000156,8.556654,0.177436,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,14,10.632797,8.10788,6.783539,22,154,239206412,0.150101,0.629362,0.511516,9.341142,1.445371,0.604615,0.00013,7.926847,0.180903,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,15,10.820481,8.301796,6.772278,22,165,239206412,0.133643,0.69049,0.511643,9.483894,1.479233,0.569299,0.000129,8.09607,0.205597,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,16,10.791127,8.205976,6.50706,22,176,239206412,0.131581,0.655343,0.518406,9.48511,1.467851,0.544811,0.000133,8.037431,0.168412,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,17,10.561234,8.336368,6.802626,22,187,239206412,0.128688,0.645776,0.489531,9.296587,1.499434,0.538519,0.000153,8.154758,0.181457,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,18,11.006037,8.644397,6.757129,22,198,239206412,0.134233,0.630637,0.529343,9.711077,1.417926,0.555719,0.000124,8.452991,0.191282,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A0,19,10.581598,8.558535,6.464349,22,209,239206412,0.133348,0.651529,0.49426,9.301792,1.4441,0.562202,0.000113,8.390357,0.168065,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
