scenario,arm,repeat,complete_step_ms,command_ms,simulate_fetch_ms,completion_ms,restore_ms,stress_iterations
bridge64-cold,A0,0,11.701534,9.7e-05,11.497533,0.203904,213.042661,184
bridge64-cold,A0,1,8.561039,0.000129,8.369145,0.191765,10.630654,184
bridge64-cold,A0,2,8.50029,0.000127,8.318461,0.181702,10.473605,184
bridge64-cold,A0,3,8.422644,0.000127,8.238576,0.183941,10.423211,184
bridge64-cold,A0,4,8.469805,9.6e-05,8.271215,0.198494,10.445243,184
bridge64-cold,A0,5,8.578445,0.000129,8.37318,0.205136,10.698919,184
bridge64-cold,A0,6,8.519386,9.9e-05,8.312382,0.206905,11.456521,184
bridge64-cold,A0,7,8.523713,0.0001,8.292751,0.230862,10.915864,184
bridge64-cold,A0,8,8.909386,0.000107,8.712873,0.196406,13.195259,184
bridge64-cold,A0,9,8.610791,0.000111,8.426323,0.184357,12.128445,184
bridge64-cold,A0,10,8.4206,0.000114,8.208205,0.212281,11.315702,184
bridge64-cold,A0,11,8.416859,0.000124,8.226969,0.189766,10.666046,184
bridge64-cold,A0,12,8.679127,0.000104,8.463432,0.215591,10.949618,184
bridge64-cold,A0,13,9.605193,0.000128,9.410083,0.194982,11.639215,184
bridge64-cold,A0,14,8.5155,0.000101,8.307617,0.207782,10.94374,184
bridge64-cold,A0,15,8.417699,0.000127,8.220375,0.197197,10.915044,184
bridge64-cold,A0,16,8.472789,0.000104,8.262981,0.209704,10.854965,184
bridge64-cold,A0,17,8.390916,0.000133,8.21712,0.173663,10.606029,184
bridge64-cold,A0,18,8.380501,0.000138,8.157348,0.223015,15.611116,184
bridge64-cold,A0,19,8.784806,0.000137,8.571299,0.21337,11.275421,184
bridge64-cold,B,0,13.818572,9.1e-05,13.66895,0.149531,220.642399,184
bridge64-cold,B,1,8.700771,8.8e-05,8.531512,0.169171,10.845388,184
bridge64-cold,B,2,8.702119,9.1e-05,8.529066,0.172962,10.511143,184
bridge64-cold,B,3,8.660657,9e-05,8.491415,0.169152,10.324134,184
bridge64-cold,B,4,8.662468,9.4e-05,8.475021,0.187353,10.425293,184
bridge64-cold,B,5,8.596169,8.9e-05,8.414856,0.181224,10.498399,184
bridge64-cold,B,6,8.734273,9e-05,8.557342,0.176841,10.97986,184
bridge64-cold,B,7,8.780475,0.000105,8.542917,0.237453,10.739674,184
bridge64-cold,B,8,7.879599,9.8e-05,7.661736,0.217765,14.785853,184
bridge64-cold,B,9,8.219649,9.2e-05,7.999785,0.219772,12.679593,184
bridge64-cold,B,10,8.105938,9.6e-05,7.841365,0.264477,11.314976,184
bridge64-cold,B,11,7.947734,9.2e-05,7.72023,0.227412,10.92144,184
bridge64-cold,B,12,8.492373,8.8e-05,8.222163,0.270122,10.675734,184
bridge64-cold,B,13,8.529347,9.2e-05,8.291047,0.238208,10.686365,184
bridge64-cold,B,14,8.420228,9.2e-05,8.148029,0.272107,10.678264,184
bridge64-cold,B,15,8.045353,9.2e-05,7.831746,0.213515,10.793151,184
bridge64-cold,B,16,8.03903,9.2e-05,7.849303,0.189635,10.539703,184
bridge64-cold,B,17,7.937062,8.8e-05,7.771095,0.165879,10.029981,184
bridge64-cold,B,18,8.026618,8.3e-05,7.830766,0.195769,10.124931,184
bridge64-cold,B,19,8.269865,8.3e-05,8.029861,0.239921,10.026721,184
bridge64-cold,A1,0,11.233626,0.000101,11.033355,0.20017,212.259739,184
bridge64-cold,A1,1,8.722538,9.7e-05,8.525064,0.197377,10.581284,184
bridge64-cold,A1,2,8.487311,0.000112,8.306328,0.180871,10.524852,184
bridge64-cold,A1,3,8.589157,9.5e-05,8.39002,0.199042,10.439023,184
bridge64-cold,A1,4,8.488129,0.000127,8.305406,0.182596,10.476562,184
bridge64-cold,A1,5,8.461469,0.000125,8.278504,0.18284,10.516255,184
bridge64-cold,A1,6,8.434854,0.000115,8.231711,0.203028,10.511864,184
bridge64-cold,A1,7,8.417329,0.000113,8.220496,0.19672,14.08815,184
bridge64-cold,A1,8,8.529854,0.000125,8.341341,0.188388,10.442764,184
bridge64-cold,A1,9,8.463455,0.000115,8.279428,0.183912,10.742614,184
bridge64-cold,A1,10,8.520594,0.000115,8.317451,0.203028,10.547229,184
bridge64-cold,A1,11,8.479804,0.000117,8.291974,0.187713,10.622053,184
bridge64-cold,A1,12,8.499261,0.000124,8.305271,0.193866,10.866007,184
bridge64-cold,A1,13,9.117502,0.000129,8.900174,0.217199,10.880518,184
bridge64-cold,A1,14,8.66801,0.000117,8.479128,0.188765,10.851402,184
bridge64-cold,A1,15,8.518459,0.000162,8.331026,0.187271,10.53142,184
bridge64-cold,A1,16,8.668644,0.000101,8.481914,0.186629,10.721421,184
bridge64-cold,A1,17,8.722626,0.000117,8.514739,0.20777,10.598331,184
bridge64-cold,A1,18,8.638416,0.000124,8.421639,0.216653,13.996964,184
bridge64-cold,A1,19,9.012984,0.00011,8.82096,0.191914,10.806694,184
bridge64-warm,A0,0,11.724564,0.000205,11.543543,0.180816,215.847931,184
bridge64-warm,A0,1,8.68331,0.000135,8.513602,0.169573,10.65179,184
