scenario,arm,mean_ms,max_ms,sd_ms,n,misses60hz,restore_mean_ms,context_setup_ms,command_ms,simulate_fetch_ms,completion_ms
bridge64-cold,A0,8.74405115,11.701534,0.7482607292336623,20,0,21.4093639,445.142748,0.0001166,8.5428934,0.20104115
bridge64-cold,B,8.628415,13.818572,1.2602793081046924,20,0,21.4111501,436.073989,9.13e-05,8.42041025,0.20791345
bridge64-cold,A1,8.7337011,11.233626,0.6166110725249834,20,0,21.0502573,436.585234,0.00011705,8.53879645,0.1947876
bridge64-warm,A0,8.78758075,11.724564,0.7520419348802354,20,0,21.29724995,443.801501,0.0001416,8.6060438,0.18139535
bridge64-warm,B,8.35373995,11.509871,0.879664850904891,20,0,19.813163,431.81527,0.00013395,8.18265945,0.17094655
bridge64-warm,A1,7.9052733,10.514882,0.7235736167883825,20,0,19.55842495,455.665664,8.675e-05,7.7100281,0.19515845
building-cold,A0,4.47798335,7.030874,0.6942314146814125,20,0,18.28982595,416.790381,8.53e-05,4.31100265,0.1668954
building-cold,B,4.4619887,7.969964,0.8893937396171737,20,0,20.57281305,458.015117,0.0001099,4.3049126,0.1569662
building-cold,A1,4.8014208499999995,7.413749,0.6311574364736813,20,0,20.66533395,470.281823,0.00011495,4.6343034,0.1670025
building-fragmented,A0,8.20424985,15.020766,1.7779083996387819,20,0,21.442092849999998,437.358978,0.0001067,8.0300253,0.17411785
building-fragmented,B,8.92490275,14.939841,1.529124222517268,20,0,22.90962055,463.389999,0.0001469,8.66936425,0.2553916
building-fragmented,A1,8.6464437,14.920165,1.5399338068807442,20,0,21.26150715,476.053705,8.96e-05,8.4607547,0.1855994
building-warm,A0,4.4642165,7.410943,0.7908095345247904,20,0,19.28226155,452.741266,0.00011485,4.29140905,0.1726926
building-warm,B,4.10169115,7.247443,0.7592243411907676,20,0,19.875854,453.563126,0.0001369,3.9291047,0.17244955
building-warm,A1,4.26469665,5.960441,0.5308435750278464,20,0,19.72420585,463.522053,0.0001397,4.01855815,0.2459988
cantilever64-cold,A0,7.38740185,10.272427,0.6882513550398863,20,0,16.06837035,407.30564,0.0001234,7.1385003,0.24877815
cantilever64-cold,B,7.62263875,10.498028,0.7122161745502831,20,0,17.898683899999998,441.293928,0.00015045,7.36884705,0.25364125
cantilever64-cold,A1,7.20559915,9.83211,0.6310840629621112,20,0,17.9028993,457.164306,0.0001778,7.054825,0.15059635
cantilever64-warm,A0,7.06937195,9.794548,0.6755510621577553,20,0,17.5042701,453.694631,0.0001334,6.86102555,0.208213
cantilever64-warm,B,6.6158117,8.19754,0.4348365599289607,20,0,17.1414935,445.093775,0.00012209999999999999,6.4290693,0.1866203
cantilever64-warm,A1,6.862486,9.521216,0.6598249618859457,20,0,17.06725575,463.988708,0.00015565,6.6790958,0.18323455
