scenario,samples,mean_ms,max_ms,sample_sd_ms,misses_60hz,command_ms,simulate_fetch_ms,completion_ms,context_setup_ms,restore_mean_ms,stress_iterations,broken_bonds,correction_passes,stress_passes,output_clusters,stress_islands,stress_active_nodes,stress_active_bonds,normal_contacts,friction_anchors
bridge64-cold,20,8.74519265,11.702686,0.7280592444086339,0,0.0001029,8.537150950000001,0.2079388,545.052344,22.17449705,184,0,0,1,1,1,744,1500,0,0
bridge64-warm,20,8.64408235,10.757592,0.575503339825352,0,0.0001346,8.43580555,0.2081422,545.589233,21.23822055,184,0,0,1,1,1,744,1500,0,0
building-cold,20,4.9840171,7.281529,0.5936951765211805,0,0.00016845,4.8286282,0.15522045,558.258729,25.40462395,88,0,0,1,1,1,380,784,0,0
building-fragmented,20,8.2791595,11.951709,0.9788530563192982,0,0.0001048,8.078132,0.2009227,462.143449,21.2275748,4,0,0,1,378,3,6,3,4537,762
building-warm,20,4.8463506,7.238376,0.6261689380846371,0,9.04e-05,4.6389533,0.20730690000000002,494.395767,20.4151603,88,0,0,1,1,1,380,784,0,0
cantilever64-cold,20,7.5009569,9.919855,0.610464026484332,0,0.0001431,7.3306778,0.170136,493.016588,17.384341199999998,984,0,0,1,1,1,63,63,0,0
cantilever64-warm,20,7.5465701,12.290601,1.1427752863895078,0,0.00013659999999999999,7.38314295,0.16329055,609.298421,18.85338305,984,0,0,1,1,1,63,63,0,0
chain256-cold,20,7.31291785,9.049628,0.5241665520782569,0,0.00013815,7.133989,0.1787907,539.36725,18.22515325,492,0,0,1,1,1,255,255,0,0
chain256-warm,20,7.42793885,9.547437,0.5091650442376251,0,0.00012715,7.21779945,0.21001225,466.845335,18.1699007,492,0,0,1,1,1,255,255,0,0
chain32-cold,20,3.1208949,6.050519,0.7211431965897438,0,0.0001095,2.94007785,0.18070755,564.993392,18.22918155,32,0,0,1,1,1,31,31,0,0
chain32-warm,20,3.2299862,6.283227,0.7612531572399898,0,0.00012025,2.9493097,0.28055625,506.143699,17.6159606,32,0,0,1,1,1,31,31,0,0
dense12-cold,20,31.32921845,33.494582,0.6039845379258678,20,0.00023735,31.1221576,0.2068235,482.02293,34.98128805,34,0,0,1,1,1,1584,4488,0,0
dense12-warm,20,31.32140715,34.018963,0.6690252134776916,20,0.00019205,31.2102009,0.1110142,609.724266,40.143987349999996,34,0,0,1,1,1,1584,4488,0,0
destruction-cold,20,3.66087515,6.41846,0.7335622672957859,0,0.0001206,3.4684603,0.19229425,519.047465,17.435212749999998,1,0,0,1,1,1,1,1,0,0
destruction-damaged,20,3.47348035,6.43696,0.7151780073692566,0,0.00010005,3.28088115,0.19249915,602.485168,17.05389195,1,0,0,1,1,1,1,1,0,0
destruction-fractured,20,5.07979395,9.222591,1.0257293831179466,0,0.00012745,4.89040535,0.18926115,540.925079,16.61890375,0,0,0,1,2,0,0,0,1,1
destruction-intact,20,3.63681305,6.12563,0.6793357958237765,0,0.00023930000000000002,3.4126299,0.22394385,641.180061,18.660968399999998,1,0,0,1,1,1,1,1,0,0
destruction-onset,20,4.1884707,7.441915,0.8248419964582755,0,0.00012855,3.99928755,0.1890546,567.407652,16.28995055,1,0,0,1,1,1,1,1,0,0
destruction-stimulus,20,4.2507295,7.641247,0.8346325182979444,0,0.0030763,4.0584454,0.1892078,681.797013,16.4265991,1,0,0,1,1,1,1,1,0,0
flying,20,1.75099935,2.35294,0.15239015569679062,0,7.615e-05,1.7503471,0.0005761,541.64025,7.651644149999999,0,0,0,0,0,0,0,0,0,0
ladder128-cold,20,5.7861782,8.063094,0.5575809976516132,0,8.01e-05,5.58228075,0.20381735,489.82711,19.7805119,192,0,0,1,1,1,285,316,0,0
ladder128-warm,20,5.7712072,7.908563,0.5461949097599154,0,0.0001052,5.5726968,0.1984052,493.266866,22.1756046,192,0,0,1,1,1,285,316,0,0
panel32-cold,20,21.41548275,23.987102,0.6371271942295581,20,0.0001944,21.2924991,0.12278925,571.596314,27.11491405,492,0,0,1,1,1,1020,1984,0,0
panel32-warm,20,21.14057875,23.59266,0.604810813527483,20,0.0001853,20.9717899,0.16860355,478.101137,26.75896035,492,0,0,1,1,1,1020,1984,0,0
resting,20,1.4665524,2.272187,0.3862943450637773,0,0.00012915,1.4655956,0.00082765,539.481615,6.7673847,0,0,0,0,0,0,0,0,0,0
sliding,20,2.54276605,3.553911,0.37274423208986146,0,0.0001051,2.54185275,0.0008082,479.369813,6.7950526,0,0,0,0,0,0,0,0,0,0
tower64-cold,20,108.43401675,111.34916,0.8627294754596193,20,0.00021965,108.31577125,0.11802585,491.401538,41.54531805,137,0,0,1,1,1,2304,4788,0,0
tower64-warm,20,108.49365245,111.316141,0.7509379575313225,20,0.00026555,108.35270685,0.14068005,530.523501,41.0187701,137,0,0,1,1,1,2304,4788,0,0
city25-intact-idle,20,10.14545675,13.081755,0.8012813116116536,0,0.0002427,9.92924295,0.2159711,677.730425,67.30446245,88,0,0,1,25,25,9500,19600,0,0
city25-airborne,20,11.59937185,14.435448,0.8490627537414895,0,0.0001725,11.3797974,0.21940195,823.260947,72.28931855,88,0,0,1,25,25,9500,19600,0,0
city25-initial-impact,20,39.26356245,48.881067,2.5184404286272404,20,0.0001276,39.01797605,0.2454588,723.410196,72.784684,304,3412,1,2,537,77,9040,16188,3931,625
city25-post-impact,20,22.2584447,29.290008,1.9629635331592008,20,0.0001811,22.01918085,0.23908275,768.533865,70.92652045,332,0,0,1,526,53,9027,16776,4675,1060
city25-cascading-fracture,20,38.29698975,42.7586,1.9909925047388561,20,0.0001313,38.08032325,0.2165352,684.105811,72.70332,388,10,1,2,610,64,8954,16476,10900,2028
city25-fragmented-loaded,20,54.23621805,63.798094,2.902923976292533,20,0.00015925,53.970071250000004,0.26598755,681.537806,74.100911,536,100,1,2,1321,169,8348,13645,26560,5092
city25-late-debris,20,66.3491621,85.750561,6.4527729805192235,20,0.0001435,66.10999525,0.23902335,769.177715,80.9458443,676,1424,1,2,2063,323,7746,11825,33694,7643
city25-ten-second-debris,20,69.18068105,95.080191,6.806589985014441,20,0.0001575,68.9433899,0.23713365,701.699935,79.24961285,716,184,1,2,1776,285,8007,12556,7349,2317
city64-intact-idle,20,17.948666,21.129103,1.5027585651683164,19,0.00016605,17.6954125,0.25308745,1292.494601,171.8307057,88,0,0,1,64,64,24320,50176,0,0
