scenario,repeat,complete_step_ms
bridge64-cold,0,11.702686
bridge64-cold,1,8.65411
bridge64-cold,2,8.686673
bridge64-cold,3,8.724923
bridge64-cold,4,8.968436
bridge64-cold,5,8.803238
bridge64-cold,6,8.715762
bridge64-cold,7,8.700559
bridge64-cold,8,8.236724
bridge64-cold,9,8.625994
bridge64-cold,10,8.066058
bridge64-cold,11,8.737
bridge64-cold,12,8.477981
bridge64-cold,13,8.585737
bridge64-cold,14,8.411492
bridge64-cold,15,8.578843
bridge64-cold,16,8.375752
bridge64-cold,17,8.757705
bridge64-cold,18,8.358221
bridge64-cold,19,8.735959
bridge64-warm,0,10.757592
bridge64-warm,1,8.907508
bridge64-warm,2,8.756602
bridge64-warm,3,8.716065
bridge64-warm,4,8.534546
bridge64-warm,5,8.943521
bridge64-warm,6,8.593017
bridge64-warm,7,8.265982
bridge64-warm,8,8.547207
bridge64-warm,9,9.048006
bridge64-warm,10,8.266715
bridge64-warm,11,8.400197
bridge64-warm,12,8.056007
bridge64-warm,13,8.946503
bridge64-warm,14,8.421091
bridge64-warm,15,8.297206
bridge64-warm,16,8.184954
bridge64-warm,17,8.201419
bridge64-warm,18,8.329596
bridge64-warm,19,8.707913
building-cold,0,7.281529
building-cold,1,4.895752
building-cold,2,5.05032
building-cold,3,4.809458
building-cold,4,4.942489
building-cold,5,4.618137
building-cold,6,4.214715
building-cold,7,5.02459
building-cold,8,5.217167
building-cold,9,4.850171
building-cold,10,5.006032
building-cold,11,4.705616
building-cold,12,4.942387
building-cold,13,5.241904
building-cold,14,4.621685
building-cold,15,4.536129
building-cold,16,4.797708
building-cold,17,4.97107
building-cold,18,4.801606
building-cold,19,5.151877
building-fragmented,0,11.951709
building-fragmented,1,8.03365
building-fragmented,2,8.619537
building-fragmented,3,6.829202
building-fragmented,4,7.560832
building-fragmented,5,8.292011
building-fragmented,6,8.551203
building-fragmented,7,8.302804
building-fragmented,8,8.352862
building-fragmented,9,8.213328
