scenario,A1_vs_A0,B_vs_A0,objects,max_position_m,max_orientation_dot_error,max_linear_m_s,max_angular_rad_s,max_force_scaled_error
bridge64-cold,passed,passed,772,0.0,0.0,0.0,0.0,0.0
bridge64-warm,passed,passed,772,0.0,0.0,0.0,0.0,0.0
building-cold,passed,passed,448,0.0,0.0,0.0,0.0,0.0
building-fragmented,passed,passed,827,0.0,2.220446049250313e-16,0.0,0.0,0.0
building-warm,passed,passed,448,0.0,0.0,0.0,0.0,0.0
cantilever64-cold,passed,passed,68,0.0,0.0,0.0,0.0,0.0
cantilever64-warm,passed,passed,68,0.0,0.0,0.0,0.0,0.0
chain256-cold,passed,passed,260,0.0,0.0,0.0,0.0,0.0
chain256-warm,passed,passed,260,0.0,0.0,0.0,0.0,0.0
chain32-cold,passed,passed,36,0.0,0.0,0.0,0.0,0.0
chain32-warm,passed,passed,36,0.0,0.0,0.0,0.0,0.0
dense12-cold,passed,passed,1732,0.0,0.0,0.0,0.0,8.28412032660708e-06
dense12-warm,passed,passed,1732,0.0,0.0,0.0,0.0,6.175337148306426e-06
destruction-cold,passed,passed,6,0.0,0.0,0.0,0.0,0.0
destruction-damaged,passed,passed,6,0.0,0.0,0.0,0.0,0.0
destruction-fractured,passed,passed,9,0.0,0.0,0.0,0.0,0.0
destruction-intact,passed,passed,6,0.0,0.0,0.0,0.0,0.0
destruction-onset,passed,passed,8,0.0,0.0,0.0,0.0,0.0
destruction-stimulus,passed,passed,8,0.0,1.1102230246251565e-16,0.0,0.0,0.0
flying,passed,passed,5,0.0,0.0,0.0,0.0,0
ladder128-cold,passed,passed,292,0.0,0.0,0.0,0.0,0.0
ladder128-warm,passed,passed,292,0.0,0.0,0.0,0.0,0.0
panel32-cold,passed,passed,1028,0.0,0.0,0.0,0.0,0.0
panel32-warm,passed,passed,1028,0.0,0.0,0.0,0.0,0.0
resting,passed,passed,5,0.0,0.0,0.0,0.0,0
sliding,passed,passed,5,0.0,0.0,0.0,0.0,0
tower64-cold,passed,passed,2372,0.0,0.0,0.0,0.0,6.915925084678709e-05
tower64-warm,passed,passed,2372,0.0,0.0,0.0,0.0,4.9233436584472656e-05
city25-intact-idle,passed,passed,11128,0.0,0.0,0.0,0.0,0.0
city25-airborne,passed,passed,11178,0.0,0.0,0.0,0.0,0.0
city25-initial-impact,passed,passed,11178,0.0,2.220446049250313e-16,0.0,0.0,0.0
city25-post-impact,passed,passed,11679,0.0,2.220446049250313e-16,0.0,0.0,0.0
city25-cascading-fracture,passed,passed,11753,0.0,2.220446049250313e-16,0.0,0.0,0.0
city25-fragmented-loaded,passed,passed,12435,0.0,2.220446049250313e-16,0.0,0.0,0.0
city25-late-debris,passed,passed,12641,0.0,2.220446049250313e-16,0.0,0.0,0.0
city25-ten-second-debris,passed,passed,12836,0.0,2.220446049250313e-16,0.0,0.0,0.0
city64-intact-idle,passed,passed,28483,0.0,0.0,0.0,0.0,0.0
city64-airborne,passed,passed,28611,0.0,0.0,0.0,0.0,0.0
city64-initial-impact,passed,passed,28611,0.0,2.220446049250313e-16,0.0,0.0,0.0
city64-post-impact,passed,passed,29867,0.0,2.220446049250313e-16,0.0,0.0,0.0
city64-cascading-fracture,passed,passed,30007,0.0,2.220446049250313e-16,0.0,0.0,0.0
city64-fragmented-loaded,passed,passed,31557,0.0,2.220446049250313e-16,0.0,0.0,0.0
city64-late-debris,passed,passed,32504,0.0,2.220446049250313e-16,0.0,0.0,0.0
city64-ten-second-debris,passed,passed,33112,0.0,2.220446049250313e-16,0.0,0.0,0.0
city256-intact-idle,passed,passed,113923,0.0,0.0,0.0,0.0,0.0
city256-airborne,passed,passed,114435,0.0,0.0,0.0,0.0,0.0
city256-initial-impact,passed,passed,114435,0.0,2.220446049250313e-16,0.0,0.0,0.0
city256-post-impact,passed,passed,119383,0.0,2.220446049250313e-16,0.0,0.0,0.0
city256-cascading-fracture,passed,passed,120006,0.0,2.220446049250313e-16,0.0,0.0,0.0
city256-fragmented-loaded,passed,passed,125084,0.0,2.220446049250313e-16,0.0,0.0,0.0
city256-late-debris,passed,passed,126393,0.0,2.220446049250313e-16,0.0,0.0,0.0
city256-ten-second-debris,passed,passed,128974,0.0,2.220446049250313e-16,0.0,0.0,0.0
